project,has_global_start,sprite_starting_point,laggy_movement,double_condition,missing_forever_loop,clone_initialization,missing_termination,loose_blocks,multiple_attribute_modification,empty_body,sequential_actions,duplicated_name,long_script,broadcast_sync,nested_loops,duplicated_script,race_condition
87292828.sb,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
87293045.sb,0,0,0,0,0,0,0,1,0,0,0,4,2,1,0,6,0
87296451.sb,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
87298091.sb,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0
87302017.sb,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0
87302398.sb,0,0,0,0,0,0,0,4,0,1,0,3,2,1,0,0,0
87302432.sb,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4
87309843.sb,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
87319642.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
87327327.sb,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87332416.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
87334391.sb,0,0,0,0,0,0,0,3,0,0,1,17,9,0,0,78,0
87336344.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
87338501.sb,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
87338539.sb,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
87338556.sb,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
87338662.sb,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
87340107.sb,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
87340293.sb,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
87342303.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87342400.sb,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
87344313.sb,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
87347049.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87349097.sb,0,0,0,0,0,0,0,0,0,2,0,13,2,0,0,160,0
87357599.sb,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
87357710.sb,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
87360542.sb,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,20,0
87361220.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87370105.sb,0,0,0,0,0,0,0,41,0,2,0,2,0,0,0,0,0
87371853.sb,0,0,0,0,0,0,0,0,0,0,0,19,18,0,0,0,0
87373333.sb,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
87374928.sb,0,0,4,0,0,0,0,0,0,0,0,4,7,0,0,0,1
87376783.sb,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
87380397.sb,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0
87381103.sb,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,8,0
87382797.sb,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0
87385757.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87385869.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87385909.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87386063.sb,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
87386899.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87397006.sb,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
87404912.sb,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
87410083.sb,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0
87410702.sb,0,0,0,0,0,0,0,4,0,1,0,4,0,2,0,2,0
87418933.sb,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0
87419199.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87419405.sb,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
87421844.sb,0,0,7,0,0,0,0,3,0,0,0,4,1,3,0,6,0
87422813.sb,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0
87426542.sb,0,0,0,0,0,0,0,3,0,0,0,8,2,0,0,6,0
87430870.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87431013.sb,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0
87431498.sb,0,1,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0
87437890.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
87439786.sb,0,0,0,4,0,0,0,7,0,22,1,7,24,0,2,120,12
87439969.sb,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0
87441210.sb,0,0,0,0,0,0,0,4,0,1,2,2,8,1,0,708,0
87444482.sb,0,2,0,0,0,0,0,4,0,0,1,6,0,0,0,0,0
87444706.sb,0,0,0,0,0,0,0,0,0,0,0,19,4,15,0,298,0
87445252.sb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
87449898.sb,0,0,0,0,0,0,0,9,0,0,2,8,18,1,0,288,0
87462763.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87468060.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
87469915.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
87472160.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87475959.sb,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
87489238.sb,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
87495087.sb,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
87496243.sb,0,0,0,0,0,0,0,1,0,0,0,19,0,21,0,600,0
87500271.sb,0,0,0,7,0,0,0,2,4,0,1,15,10,0,0,82,0
87507055.sb,0,0,0,0,0,0,0,1,1,0,0,1,3,1,0,12,0
87518485.sb,0,0,0,0,0,0,0,1,0,0,0,5,3,5,0,6,0
87528305.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87529071.sb,0,0,0,0,0,0,0,3,0,0,1,24,16,2,0,432,0
87534220.sb,0,0,0,0,0,0,0,2,1,11,0,0,5,0,0,0,0
